시도,사고유형,발생건수,대형사고,여객(건),화물(건),사망자수,치사율(%)
충북,횡단중,1527,0,0,15,84,5.5
충북,차도통행중,405,0,0,5,30,7.41
충북,길가장자리구역통행중,224,0,0,6,9,4.02
충북,보도통행중,169,0,0,2,2,1.18
충북,차대사람-기타,1492,0,0,18,51,3.42
충북,정면충돌,1224,2,0,14,42,3.43
충북,측면직각충돌,9483,1,2,84,79,0.83
충북,추돌(진행중),4099,7,5,96,95,2.32
충북,후진중추돌,428,0,0,2,0,0
충북,차대차-기타,7076,3,1,60,54,0.76
충북,공작물추돌,620,0,1,6,52,8.39
충북,도로외이탈(추락),116,1,0,1,25,21.55
충북,도로외이탈(기타),46,0,0,0,3,6.52
충북,주차차량추돌,7,0,0,0,1,14.29
충북,전도,210,1,1,1,22,10.48
충북,전복,30,0,0,0,7,23.33
충북,차량단독-기타,397,0,0,0,26,6.55
충북,철길건널목-기타,1,0,0,0,1,100
